#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,InterestRate,All,2017-10-31,2017-11-15,-35305.753472
All,InterestRate,All,2017-11-01,2017-11-16,-53093.025009
All,InterestRate,All,2017-11-02,2017-11-17,-11502.726821
All,InterestRate,All,2017-11-03,2017-11-20,-16810.604333
All,InterestRate,All,2017-11-06,2017-11-21,-17489.596283
All,InterestRate,All,2017-11-07,2017-11-22,-18535.725088
All,InterestRate,All,2017-11-08,2017-11-24,7820.675878
All,InterestRate,All,2017-11-09,2017-11-27,47213.111691
All,InterestRate,All,2017-11-13,2017-11-28,22909.373935
All,InterestRate,All,2017-11-14,2017-11-29,44347.532280
All,InterestRate,All,2017-11-15,2017-11-30,42347.483757
All,InterestRate,All,2017-11-16,2017-12-01,51138.366946
All,InterestRate,All,2017-11-17,2017-12-04,26786.298451
All,InterestRate,All,2017-11-20,2017-12-05,48413.102052
All,InterestRate,All,2017-11-21,2017-12-06,31143.060680
All,InterestRate,All,2017-11-22,2017-12-07,26253.837022
All,InterestRate,All,2017-11-24,2017-12-08,23214.606351
All,InterestRate,All,2017-11-27,2017-12-11,1548.473775
All,InterestRate,All,2017-11-28,2017-12-12,11740.644082
All,InterestRate,All,2017-11-29,2017-12-13,-22381.145807
All,InterestRate,All,2017-11-30,2017-12-14,1435.551267
All,InterestRate,All,2017-12-01,2017-12-15,-23788.745262
All,InterestRate,All,2017-12-04,2017-12-18,12227.125673
All,InterestRate,All,2017-12-05,2017-12-19,16039.035094
All,InterestRate,All,2017-12-06,2017-12-20,40255.620217
All,InterestRate,All,2017-12-07,2017-12-21,13952.222350
All,InterestRate,All,2017-12-08,2017-12-22,-16532.126614
All,InterestRate,All,2017-12-12,2017-12-27,278.519871
All,InterestRate,All,2017-12-13,2017-12-28,53307.476296
All,InterestRate,All,2017-12-14,2017-12-29,22329.212370
All,InterestRate,All,2017-12-15,2018-01-02,75859.612704
All,InterestRate,All,2017-12-18,2018-01-03,31452.896872
All,InterestRate,All,2017-12-19,2018-01-04,9375.100428
All,InterestRate,All,2017-12-20,2018-01-05,21478.979530
All,InterestRate,All,2017-12-21,2018-01-08,31387.384093
All,InterestRate,All,2017-12-22,2018-01-09,53291.534660
All,InterestRate,All,2017-12-27,2018-01-11,48877.764893
All,InterestRate,All,2017-12-28,2018-01-12,21879.576121
All,InterestRate,All,2017-12-29,2018-01-16,24329.237196
All,InterestRate,All,2018-01-02,2018-01-17,-11553.771742
All,InterestRate,All,2018-01-03,2018-01-18,33909.133710
All,InterestRate,All,2018-01-04,2018-01-19,35759.618522
All,InterestRate,All,2018-01-05,2018-01-22,23397.044878
All,InterestRate,All,2018-01-08,2018-01-23,38984.418190
All,InterestRate,All,2018-01-09,2018-01-24,49438.686990
All,InterestRate,All,2018-01-10,2018-01-25,49687.388600
All,InterestRate,All,2018-01-11,2018-01-26,47054.558604
All,InterestRate,All,2018-01-12,2018-01-29,18626.439038
All,InterestRate,All,2018-01-16,2018-01-30,28470.849512
All,InterestRate,All,2018-01-17,2018-01-31,44833.156030
All,InterestRate,All,2018-01-18,2018-02-01,10955.437638
All,InterestRate,All,2018-01-19,2018-02-02,43885.958597
All,InterestRate,All,2018-01-22,2018-02-05,34795.059096
All,InterestRate,All,2018-01-23,2018-02-06,37479.033569
All,InterestRate,All,2018-01-24,2018-02-07,41302.670738
All,InterestRate,All,2018-01-25,2018-02-08,31107.098890
All,InterestRate,All,2018-01-26,2018-02-09,8963.150257
All,InterestRate,All,2018-01-29,2018-02-12,38006.542548
All,InterestRate,All,2018-01-30,2018-02-13,17402.326565
All,InterestRate,All,2018-01-31,2018-02-14,-1318.022003
All,InterestRate,All,2018-02-01,2018-02-15,285.926640
All,InterestRate,All,2018-02-02,2018-02-16,1179.399668
All,InterestRate,All,2018-02-05,2018-02-20,-29421.341042
All,InterestRate,All,2018-02-06,2018-02-21,-18764.406843
All,InterestRate,All,2018-02-07,2018-02-22,-28360.123741
All,InterestRate,All,2018-02-08,2018-02-23,-38972.826128
All,InterestRate,All,2018-02-09,2018-02-26,7709.621080
All,InterestRate,All,2018-02-12,2018-02-27,13304.647568
All,InterestRate,All,2018-02-13,2018-02-28,31982.755034
All,InterestRate,All,2018-02-14,2018-03-01,20508.415029
All,InterestRate,All,2018-02-15,2018-03-02,14509.463838
All,InterestRate,All,2018-02-16,2018-03-05,16190.657728
All,InterestRate,All,2018-02-20,2018-03-06,48950.561212
All,InterestRate,All,2018-02-21,2018-03-07,32048.646092
All,InterestRate,All,2018-02-22,2018-03-08,43437.794093
All,InterestRate,All,2018-02-23,2018-03-09,74110.493115
All,InterestRate,All,2018-02-26,2018-03-12,63597.885845
All,InterestRate,All,2018-02-27,2018-03-13,62368.153593
All,InterestRate,All,2018-02-28,2018-03-14,21608.162752
All,InterestRate,All,2018-03-01,2018-03-15,42356.101331
All,InterestRate,All,2018-03-02,2018-03-16,61327.432405
All,InterestRate,All,2018-03-05,2018-03-19,34196.924583
All,InterestRate,All,2018-03-06,2018-03-20,26888.366883
All,InterestRate,All,2018-03-07,2018-03-21,39484.958108
All,InterestRate,All,2018-03-08,2018-03-22,8823.346650
All,InterestRate,All,2018-03-09,2018-03-23,-33675.587274
All,InterestRate,All,2018-03-12,2018-03-26,-21543.047756
All,InterestRate,All,2018-03-13,2018-03-27,-47022.474291
All,InterestRate,All,2018-03-14,2018-03-28,-12723.141141
All,InterestRate,All,2018-03-15,2018-03-29,-4199.051495
All,InterestRate,All,2018-03-20,2018-04-03,-20313.860791
All,InterestRate,All,2018-03-21,2018-04-04,-28646.960137
All,InterestRate,All,2018-03-22,2018-04-05,-32769.584740
All,InterestRate,All,2018-03-23,2018-04-06,-6232.042307
All,InterestRate,All,2018-03-26,2018-04-09,-11713.797500
All,InterestRate,All,2018-03-27,2018-04-10,-18165.289770
All,InterestRate,All,2018-03-28,2018-04-11,-5895.501682
All,InterestRate,All,2018-03-29,2018-04-12,-27019.760476
All,InterestRate,All,2018-04-03,2018-04-17,6993.757137
All,InterestRate,All,2018-04-04,2018-04-18,3062.054866
All,InterestRate,All,2018-04-05,2018-04-19,30034.177040
All,InterestRate,All,2018-04-06,2018-04-20,21753.009898
All,InterestRate,All,2018-04-09,2018-04-23,-3788.675232
All,InterestRate,All,2018-04-10,2018-04-24,35719.978744
All,InterestRate,All,2018-04-11,2018-04-25,26688.825785
All,InterestRate,All,2018-04-12,2018-04-26,45598.470190
All,InterestRate,All,2018-04-13,2018-04-27,38205.964415
All,InterestRate,All,2018-04-16,2018-04-30,38954.959706
All,InterestRate,All,2018-04-17,2018-05-01,30914.153470
All,InterestRate,All,2018-04-18,2018-05-02,39069.589710
All,InterestRate,All,2018-04-19,2018-05-03,46865.589966
All,InterestRate,All,2018-04-20,2018-05-04,62365.197481
All,InterestRate,All,2018-04-24,2018-05-08,63856.350957
All,InterestRate,All,2018-04-25,2018-05-09,72285.815462
All,InterestRate,All,2018-04-26,2018-05-10,93496.035757
All,InterestRate,All,2018-04-27,2018-05-11,95680.790108
All,InterestRate,All,2018-04-30,2018-05-14,89581.813465
All,InterestRate,All,2018-05-01,2018-05-15,69963.600367
All,InterestRate,All,2018-05-02,2018-05-16,75704.158273
All,InterestRate,All,2018-05-03,2018-05-17,58740.374755
All,InterestRate,All,2018-05-04,2018-05-18,28022.689363
All,InterestRate,All,2018-05-08,2018-05-22,13826.112405
All,InterestRate,All,2018-05-09,2018-05-23,-11732.423964
All,InterestRate,All,2018-05-10,2018-05-24,-19287.691467
All,InterestRate,All,2018-05-11,2018-05-25,-29770.782816
All,InterestRate,All,2018-05-14,2018-05-29,-58200.725429
All,InterestRate,All,2018-05-15,2018-05-30,-32510.834921
All,InterestRate,All,2018-05-16,2018-05-31,-48953.483580
All,InterestRate,All,2018-05-17,2018-06-01,-16902.416740
All,InterestRate,All,2018-05-18,2018-06-04,-9351.204955
All,InterestRate,All,2018-05-21,2018-06-05,-8277.186395
All,InterestRate,All,2018-05-22,2018-06-06,-31316.044072
All,InterestRate,All,2018-05-23,2018-06-07,1811.576626
All,InterestRate,All,2018-05-24,2018-06-08,-22733.625447
All,InterestRate,All,2018-05-25,2018-06-11,-6626.479991
All,InterestRate,All,2018-05-29,2018-06-12,21096.742409
All,InterestRate,All,2018-05-30,2018-06-13,17753.411875
All,InterestRate,All,2018-05-31,2018-06-14,59619.214784
All,InterestRate,All,2018-06-01,2018-06-15,35797.012718
All,InterestRate,All,2018-06-04,2018-06-18,26273.606419
All,InterestRate,All,2018-06-05,2018-06-19,25986.278258
All,InterestRate,All,2018-06-06,2018-06-20,91228.008090
All,InterestRate,All,2018-06-07,2018-06-21,78449.193546
All,InterestRate,All,2018-06-08,2018-06-22,84994.139364
All,InterestRate,All,2018-06-11,2018-06-25,84109.110244
All,InterestRate,All,2018-06-12,2018-06-26,96194.251819
All,InterestRate,All,2018-06-13,2018-06-27,85604.925095
All,InterestRate,All,2018-06-14,2018-06-28,53368.866204
All,InterestRate,All,2018-06-15,2018-06-29,65804.601364
All,InterestRate,All,2018-06-18,2018-07-02,103062.448727
All,InterestRate,All,2018-06-19,2018-07-03,122374.444810
All,InterestRate,All,2018-06-20,2018-07-05,88758.547054
All,InterestRate,All,2018-06-21,2018-07-06,72268.287093
All,InterestRate,All,2018-06-22,2018-07-09,37393.812782
All,InterestRate,All,2018-06-25,2018-07-10,52338.965037
All,InterestRate,All,2018-06-26,2018-07-11,40210.466253
All,InterestRate,All,2018-06-27,2018-07-12,48485.333844
All,InterestRate,All,2018-06-28,2018-07-13,43793.637779
All,InterestRate,All,2018-06-29,2018-07-16,19154.527544
All,InterestRate,All,2018-07-02,2018-07-17,-12641.134473
All,InterestRate,All,2018-07-03,2018-07-18,-33937.426805
All,InterestRate,All,2018-07-05,2018-07-19,-34069.606982
