#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/TWD/7","EquityVolatility/RIC:.SPX/7",-0.015558
"DiscountCurve/TWD/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",0.097135
"DiscountCurve/TWD/7","ZeroInflationCurve/EUHICPXT/4",0.136487
"DiscountCurve/USD/7","IndexCurve/DKK-DKKOIS/7",0.675511
"DiscountCurve/USD/7","IndexCurve/EUR-EONIA/7",0.728288
"DiscountCurve/USD/7","IndexCurve/EUR-EURIBOR-3M/7",0.722288
"DiscountCurve/USD/7","IndexCurve/EUR-EURIBOR-6M/7",0.728066
"DiscountCurve/USD/7","IndexCurve/SEK-STIBOR-3M/7",0.654881
"DiscountCurve/USD/7","IndexCurve/USD-FedFunds/7",0.966406
"DiscountCurve/USD/7","IndexCurve/USD-LIBOR-3M/7",0.979871
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.053483
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.130316
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.148716
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.002937
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.036841
"DiscountCurve/USD/7","OptionletVolatility/EUR-EURIBOR-6M/47",-0.002074
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/63",0.008233
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/64",-0.000552
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/65",-0.009035
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/66",-0.025533
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.029855
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.021994
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.005470
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/70",0.009635
"DiscountCurve/USD/7","OptionletVolatility/SEK-STIBOR-3M/71",0.029484
"DiscountCurve/USD/7","FXSpot/DKKEUR/0",-0.096091
"DiscountCurve/USD/7","FXSpot/JPYEUR/0",-0.491306
"DiscountCurve/USD/7","FXSpot/NOKEUR/0",0.148082
"DiscountCurve/USD/7","FXSpot/SEKEUR/0",0.127877
"DiscountCurve/USD/7","FXSpot/TWDEUR/0",0.035884
"DiscountCurve/USD/7","FXSpot/USDEUR/0",-0.064584
"DiscountCurve/USD/7","FXVolatility/EURUSD/7",-0.321578
"DiscountCurve/USD/7","FXVolatility/NOKSEK/7",-0.209820
"DiscountCurve/USD/7","FXVolatility/USDJPY/7",-0.176753
"DiscountCurve/USD/7","EquitySpot/RIC:.SPX/0",0.377033
"DiscountCurve/USD/7","EquitySpot/RIC:FISV.OQ/0",0.030892
"DiscountCurve/USD/7","EquitySpot/RIC:KSS.N/0",0.366899
"DiscountCurve/USD/7","EquitySpot/RIC:LHAG.DE/0",0.313054
