#Key,Factor,BaseValue,ShiftSize
IndexCurve/USD-FedFunds/5,IndexCurve/USD-FedFunds/5/1Y,0.00566347,0.00010000
IndexCurve/USD-FedFunds/6,IndexCurve/USD-FedFunds/6/2Y,0.00649315,0.00010000
IndexCurve/USD-FedFunds/7,IndexCurve/USD-FedFunds/7/3Y,0.00717100,0.00010000
IndexCurve/USD-FedFunds/8,IndexCurve/USD-FedFunds/8/4Y,0.00835424,0.00010000
IndexCurve/USD-FedFunds/9,IndexCurve/USD-FedFunds/9/5Y,0.00938123,0.00010000
IndexCurve/USD-FedFunds/10,IndexCurve/USD-FedFunds/10/7Y,0.01119908,0.00010000
IndexCurve/USD-FedFunds/11,IndexCurve/USD-FedFunds/11/10Y,0.01358690,0.00010000
IndexCurve/USD-FedFunds/12,IndexCurve/USD-FedFunds/12/15Y,0.01650517,0.00010000
IndexCurve/USD-FedFunds/13,IndexCurve/USD-FedFunds/13/20Y,0.01793939,0.00010000
IndexCurve/USD-FedFunds/14,IndexCurve/USD-FedFunds/14/25Y,0.01870563,0.00010000
IndexCurve/USD-FedFunds/15,IndexCurve/USD-FedFunds/15/30Y,0.01898500,0.00010000
IndexCurve/USD-LIBOR-3M/0,IndexCurve/USD-LIBOR-3M/0/2W,0.00672100,0.00010000
IndexCurve/USD-LIBOR-3M/1,IndexCurve/USD-LIBOR-3M/1/1M,0.00731504,0.00010000
IndexCurve/USD-LIBOR-3M/2,IndexCurve/USD-LIBOR-3M/2/3M,0.00797103,0.00010000
IndexCurve/USD-LIBOR-3M/3,IndexCurve/USD-LIBOR-3M/3/6M,0.00810228,0.00010000
IndexCurve/USD-LIBOR-3M/4,IndexCurve/USD-LIBOR-3M/4/9M,0.00829666,0.00010000
IndexCurve/USD-LIBOR-3M/5,IndexCurve/USD-LIBOR-3M/5/1Y,0.00853549,0.00010000
IndexCurve/USD-LIBOR-3M/6,IndexCurve/USD-LIBOR-3M/6/2Y,0.00922108,0.00010000
IndexCurve/USD-LIBOR-3M/7,IndexCurve/USD-LIBOR-3M/7/3Y,0.01020572,0.00010000
IndexCurve/USD-LIBOR-3M/8,IndexCurve/USD-LIBOR-3M/8/4Y,0.01127787,0.00010000
IndexCurve/USD-LIBOR-3M/9,IndexCurve/USD-LIBOR-3M/9/5Y,0.01238242,0.00010000
IndexCurve/USD-LIBOR-3M/10,IndexCurve/USD-LIBOR-3M/10/7Y,0.01437748,0.00010000
IndexCurve/USD-LIBOR-3M/11,IndexCurve/USD-LIBOR-3M/11/10Y,0.01691815,0.00010000
IndexCurve/USD-LIBOR-3M/12,IndexCurve/USD-LIBOR-3M/12/15Y,0.01959511,0.00010000
IndexCurve/USD-LIBOR-3M/13,IndexCurve/USD-LIBOR-3M/13/20Y,0.02105964,0.00010000
IndexCurve/USD-LIBOR-3M/14,IndexCurve/USD-LIBOR-3M/14/25Y,0.02173315,0.00010000
IndexCurve/USD-LIBOR-3M/15,IndexCurve/USD-LIBOR-3M/15/30Y,0.02222805,0.00010000
IndexCurve/USD-LIBOR-6M/0,IndexCurve/USD-LIBOR-6M/0/2W,0.00672100,0.00010000
IndexCurve/USD-LIBOR-6M/1,IndexCurve/USD-LIBOR-6M/1/1M,0.00731504,0.00010000
IndexCurve/USD-LIBOR-6M/2,IndexCurve/USD-LIBOR-6M/2/3M,0.00797103,0.00010000
IndexCurve/USD-LIBOR-6M/3,IndexCurve/USD-LIBOR-6M/3/6M,0.00809376,0.00010000
IndexCurve/USD-LIBOR-6M/4,IndexCurve/USD-LIBOR-6M/4/9M,0.00863850,0.00010000
IndexCurve/USD-LIBOR-6M/5,IndexCurve/USD-LIBOR-6M/5/1Y,0.00891233,0.00010000
IndexCurve/USD-LIBOR-6M/6,IndexCurve/USD-LIBOR-6M/6/2Y,0.00768441,0.00010000
IndexCurve/USD-LIBOR-6M/7,IndexCurve/USD-LIBOR-6M/7/3Y,0.00884426,0.00010000
IndexCurve/USD-LIBOR-6M/8,IndexCurve/USD-LIBOR-6M/8/4Y,0.00997878,0.00010000
IndexCurve/USD-LIBOR-6M/9,IndexCurve/USD-LIBOR-6M/9/5Y,0.01115371,0.00010000
IndexCurve/USD-LIBOR-6M/10,IndexCurve/USD-LIBOR-6M/10/7Y,0.01328211,0.00010000
IndexCurve/USD-LIBOR-6M/11,IndexCurve/USD-LIBOR-6M/11/10Y,0.01567194,0.00010000
IndexCurve/USD-LIBOR-6M/12,IndexCurve/USD-LIBOR-6M/12/15Y,0.01839693,0.00010000
IndexCurve/USD-LIBOR-6M/13,IndexCurve/USD-LIBOR-6M/13/20Y,0.01980671,0.00010000
IndexCurve/USD-LIBOR-6M/14,IndexCurve/USD-LIBOR-6M/14/25Y,0.02051399,0.00010000
IndexCurve/USD-LIBOR-6M/15,IndexCurve/USD-LIBOR-6M/15/30Y,0.02104309,0.00010000
SwaptionVolatility/EUR/0,SwaptionVolatility/EUR/0/1Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/1,SwaptionVolatility/EUR/1/1Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/2,SwaptionVolatility/EUR/2/1Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/3,SwaptionVolatility/EUR/3/5Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/4,SwaptionVolatility/EUR/4/5Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/5,SwaptionVolatility/EUR/5/5Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/6,SwaptionVolatility/EUR/6/7Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/7,SwaptionVolatility/EUR/7/7Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/8,SwaptionVolatility/EUR/8/7Y/10Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/9,SwaptionVolatility/EUR/9/10Y/1Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/10,SwaptionVolatility/EUR/10/10Y/5Y/ATM,0.00000000,0.00000000
SwaptionVolatility/EUR/11,SwaptionVolatility/EUR/11/10Y/10Y/ATM,0.00000000,0.00000000
OptionletVolatility/EUR/0,OptionletVolatility/EUR/0/1Y/0.01,0.00000000,0.00000000
OptionletVolatility/EUR/1,OptionletVolatility/EUR/1/1Y/0.02,0.00000000,0.00000000
OptionletVolatility/EUR/2,OptionletVolatility/EUR/2/1Y/0.03,0.00000000,0.00000000
OptionletVolatility/EUR/3,OptionletVolatility/EUR/3/1Y/0.04,0.00000000,0.00000000
